source,title,abstract,journal,publication_date,authors,mesh_terms,doi,pmid,url
PubMed,[Chronic kidney disease: how to benefit form coordinated care?].,"HOW TO BENEFIT FORM COORDINATED CARE? Chronic kidney disease (CKD) is a major goal of public health. At each stage of CKD, from screening to renal replacement therapy, coordinated care at geographic level or population-based may contribute to enhance effectiveness and efficiency. Kidney transplantation, home-dialysis and conservative treatment must be prioritized. MALADIE RÉNALE CHRONIQUE : BIEN CONNAÎTRE LE PARCOURS DE SOINS SUR SON TERRITOIRE. Du point de vue du système de soins, la maladie rénale chronique (MRC) est un modèle de maladie chronique. Aux différents stades de l’évolution de la MRC, du dépistage à la suppléance, une coordination du parcours sur chaque territoire et une approche populationnelle des différents acteurs – MSP, CPTS, structures hospitalières... – contribuent à l’efficacité et l’efficience des soins. L’éducation thérapeutique est centrale pour permettre au patient d’être assuré, rassuré, en gagnant en autonomie. La greffe, la dialyse autonome et le traitement conservateur sont prioritaires.",La Revue du praticien,2024,Frimat Luc,"Humans; Renal Insufficiency, Chronic; Kidney Transplantation",,39011715,https://pubmed.ncbi.nlm.nih.gov/39011715/
PubMed,[Chronic kidney disease : a genuine public health burden].,"A GENUINE PUBLIC HEALTH BURDEN. Chronic kidney disease (CKD) is a frequent pathology. It requires regular screening and, once diagnosed, specific follow-up. Complications are serious, as end-stage CKD needs renal replacement therapy, and cardiovascular events are common. Over and above its complications, CKD also impacts the quality of life of patients. ""LA MALADIE RÉNALE CHRONIQUE : UN AUTHENTIQUE FARDEAU DE SANTÉ PUBLIQUE. La maladie rénale chronique (MRC) est une pathologie fréquente. Il est nécessaire de la dépister régulièrement, puis de mettre en place un suivi spécifique lorsqu’elle est diagnostiquée. Ses complications sont graves, car à un stade dit terminal, la MRC nécessite un traitement de suppléance rénale, et les événements cardiovasculaires sont fréquents. Au-delà des complications cliniques, la MRC impacte également la qualité de vie des patients.""",La Revue du praticien,2024,Sautenet Bénédicte,"Humans; Renal Insufficiency, Chronic; Public Health; Cost of Illness; Quality of Life",,39011714,https://pubmed.ncbi.nlm.nih.gov/39011714/
PubMed,[Role of the general practitioner in enhancing the management of chronic kidney disease].,,La Revue du praticien,2024,Vrtovsnik François; Vermesse Bruno,"Humans; Renal Insufficiency, Chronic; Physician's Role; General Practitioners",,39011712,https://pubmed.ncbi.nlm.nih.gov/39011712/
PubMed,[Prevalence of stages 3-5 chronic kidney disease in New Caledonia].,"New Caledonia is a French territory located in the South Pacific Ocean. The prevalence rate of end-stage renal disease is nearly 3,000 per million inhabitants, making it one of the highest prevalence rates in the world. Preventing chronic kidney disease is a major public health issue. This article presents prevalence rates of chronic kidney disease (CKD) stages 3-5 for New Caledonia defined by a glomerular filtration rate estimated below 60 mL/min/1.73 m2. Estimation was assessed from data collected during two “Adult health barometer” surveys carried out in the general adult population. Therefore, our study assessed two prevalence rates: 7.8% [6.1; 10.1] and 5.3% [3.3; 8.5]. Those prevalence rates were two to four times higher than in mainland France which is consistent with the high prevalence rate of end stage renal disease treated in New Caledonia. Hence, CKD prevention is essential for New Caledonia. La Nouvelle-Calédonie est une collectivité française dans l’océan Pacifique Sud. Le taux de prévalence de l’insuffisance rénale chronique terminale traitée s’élève à près de 3 000 par million d’habitants, soit un des taux de prévalence parmi les plus élevés au monde. Cet article présente pour la première fois les taux de prévalence de la maladie rénale chronique aux stades 3-5 pour la Nouvelle-Calédonie, définie par un débit de filtration glomérulaire estimé inférieur à 60 mL/min/1,73 m2. Ces résultats ont été estimés à partir des deux enquêtes « Baromètre santé adulte » en population générale adulte. Notre étude a estimé des taux de prévalence de 7,8 % [6,1 ; 10,1] et de 5,3 % [3,3 ; 8,5]. Le taux de prévalence de la maladie rénale chronique serait donc deux à quatre fois plus élevé qu’en France métropolitaine. La prévention de la maladie rénale chronique est primordiale pour la Nouvelle-Calédonie.",Nephrologie & therapeutique,2024,Baroux Noémie; Magnat Élodie; Cauchy Marina; Cantin Jean-François; Cohen Raphael; Domingue-Mena Pascale,"Humans; Prevalence; New Caledonia; Renal Insufficiency, Chronic; Male; Middle Aged; Female; Aged; Adult; Severity of Illness Index",10.1684/ndt.2024.77,38920046,https://pubmed.ncbi.nlm.nih.gov/38920046/
PubMed,[Non-pharmacological prevention of chronic kidney disease].,"Preventing chronic kidney disease (CKD) is a major public health objective. CKD leads to significant cardiovascular morbidity and mortality, with a negative impact on quality of life and significant societal repercussions. Several drugs are effective in preventing and curbing CKD, including blockers of the renin/angiotensin/aldosterone system and inhibitors of the SGLT2 co-transporter. New molecules are currently in clinical trials focusing on the nephro-protection, such as non-steroidal mineralocorticoid receptor antagonists and GPL-1 receptor agonists. In addition to this drug arsenal, CKD prevention also relies on non-pharmacological optimization of hygienic-dietary measures, including smoking avoidance, physical activity and dietetics. The aim of this article is to detail this non-medicinal approach to the prevention and slow down of CKD. La prévention de la maladie rénale chronique (MRC) est un objectif majeur de santé publique. La MRC engendre, en effet, une morbi-mortalité cardiovasculaire importante, avec un impact négatif sur la qualité de vie et des répercussions sociétales non négligeables. Plusieurs piliers médicamenteux sont efficaces dans la prévention et la freination de la MRC, tels que les bloqueurs du système rénine/angiotensine/aldostérone et les inhibiteurs du co-transporteur SGLT2. De nouvelles molécules sont en cours d’essais cliniques visant la néphro-protection, comme les antagonistes non stéroïdiens du récepteur aux minéralocorticoïdes et les agonistes du récepteur au GPL-1. Outre cet arsenal médicamenteux, la prévention de la MRC repose également sur une optimisation non pharmacologique des mesures hygiéno-diététiques, comprenant l’éviction tabagique, l’activité physique et la diététique. L’objectif de cet article est de détailler cette approche non médicamenteuse dans la prévention et la freination de la MRC.",Revue medicale de Liege,2024,Merckx Guillaume; Somja Mélanie; Makalou Gwendoline; Jouret François,"Humans; Renal Insufficiency, Chronic",,38869132,https://pubmed.ncbi.nlm.nih.gov/38869132/
PubMed,[Why is health literacy an essential component of health of individuals with chronic kidney disease].,"Health literacy (HL) is the ability of individuals to access, understand and use health information to improve their health. It is a multidimensional and contextual concept, whose definition has been enriched over time. Considered both as a health risk factor and a skill to be developed by individuals, HL also depends on the healthcare system in which patients have to navigate, and on healthcare professionals’ awareness of this concept. In order to promote shared decision-making and thus individual empowerment in the healthcare, HL should be at the core of the concerns of nephrology care teams. La littératie en santé (LS) est la capacité d’un individu à accéder à des informations en santé, à les comprendre et à les utiliser pour améliorer son état de santé. Il s’agit d’un concept pluridimensionnel et contextuel dont la définition s’est enrichie au fil du temps. Considérée à la fois comme un facteur de risque pour la santé et une aptitude à développer chez les individus, la LS dépend également du système de santé dans lequel les patients doivent naviguer et de la sensibilisation des professionnels de santé à ce concept. Afin de favoriser la décision partagée et ainsi l’émancipation des individus en matière de santé, la LS devrait être au cœur des préoccupations des équipes de néphrologie.",Nephrologie & therapeutique,2024,Paris Lucile; Lobbedez Thierry; Châtelet Valérie,"Humans; Health Literacy; Renal Insufficiency, Chronic",10.1684/ndt.2024.71,38742302,https://pubmed.ncbi.nlm.nih.gov/38742302/
PubMed,[Chronic kidney disease in geriatrics].,"Chronic kidney disease (CKD) affects almost 10% of the world's population, and over 30% of people aged over 70 [1,2]. The overall incidence of treated CKD is stable in France, but continues to rise sharply in people aged over 85 [3]. In its advanced stages, CKD is associated with numerous complications linked to disturbances in water, acid-base and phosphocalcium balance, as well as anemia and increased cardiovascular risk. A better understanding of risk factors, improved practices to promote nephroprotection, and progress in therapeutic education and preparation for suppletive techniques would help reduce this risk.",Soins. Gerontologie,2024,Ailioaie Oana; Essig Marie; Levassort Hélène,"Humans; Aged; Aged, 80 and over; Renal Insufficiency, Chronic; Risk Factors; France",10.1016/j.sger.2024.01.003,38418074,https://pubmed.ncbi.nlm.nih.gov/38418074/
PubMed,[Neurocognitive disorders in chronic kidney disease].,"Neurocognitive disorders (NCD) are common in patients with chronic kidney disease (CKD). It is essential to identify and characterize these disorders at an early stage, so as to be able to offer appropriate treatment. In a chronic disease such as CKD, the patient's involvement in decision-making is a major challenge, given the prospects for suppletive treatment: hemodialysis, peritoneal dialysis, kidney transplantation or non-dialytic drug therapy. Many factors are associated with the development and progression of NCD in patients with CKD, and a variety of conditions can influence the outcome of cognitive assessment in these patients.",Soins. Gerontologie,2024,Levassort Hélène; Pépin Marion,"Humans; Kidney Failure, Chronic; Renal Insufficiency, Chronic; Renal Dialysis; Neurocognitive Disorders; Kidney Transplantation",10.1016/j.sger.2024.01.005,38418068,https://pubmed.ncbi.nlm.nih.gov/38418068/
PubMed,"[Substitution treatments for chronic kidney disease in geriatrics: dialysis, transplantation and medical treatment without dialysis].","Kidney disease, whether acute or chronic, is a particularly common condition in the elderly, due to its main risk factors, the prevalence of which increases with age, and the fact that recovery from acute tubular damage is slower. Wherever possible, treatment of renal failure should be anticipated and discussed with the patient as part of a shared medical decision. Numerous treatment options are available to ensure maximum integration into the patient's life and care plan: renal transplantation for the most robust patients, hemodialysis in a care facility or at home, peritoneal dialysis at home, or medical treatment without dialysis. The choice of one of these treatments must leave the patient free to change his or her treatment modality at any time.",Soins. Gerontologie,2024,Ailioaie Oana; Essig Marie; Levassort Hélène,"Male; Female; Humans; Aged; Renal Dialysis; Kidney Failure, Chronic; Peritoneal Dialysis; Renal Insufficiency, Chronic; Risk Factors",10.1016/j.sger.2024.01.004,38418067,https://pubmed.ncbi.nlm.nih.gov/38418067/
PubMed,Haematological Indices and Iron Status in Pre-Dialysis Chronic Kidney Disease Patients.,"Chronic kidney disease (CKD) is associated with haematological changes, the commonest being anaemia. The number and function of white blood cells (WBC) and platelets are equally affected. Iron deficiency is a common cause of anaemia in the CKD population and anaemia has been associated with reduced cardiac function, increased rates of hospitalization, morbidity and mortality. This study aimed to determine the haematological indices and iron status among pre-dialysis CKD patients. A hospital-based cross-sectional study involving 95 predialysis CKD patients and 95 age- and sex-matched apparently healthy controls. Full blood count, peripheral blood film, serum ferritin, transferrin saturation, C-reactive protein (CRP), electrolytes, urea and creatinine, serum folate and vitamin B12 were done in all study participants. Comparisons were made between results obtained from participants in both groups. The mean ages were 58.1 ± 14.9 years and 58.3 ± 15.0 years in the CKD group and controls, respectively. The male:female ratio was 1:0.9 in both groups. The prevalence of anaemia was 51.6% and 3% in patients with CKD and controls, respectively. There was no significant difference in the total WBC count, neutrophil and lymphocyte differentials, platelet count, serum vitamin B12 and folate in patients with CKD and controls. The prevalence of iron deficiency among patients with CKD was 32.6%, of which 62.5% were absolutely iron-deficient while 37.5% were functionally iron-deficient. The median ferritin and CRP were also higher in CKD. (p =0.001). Anaemia and iron deficiency are common in predialysis CKD patients. Early diagnosis and treatment are important to avoid the problems associated with them. Maladie rénale chronique, Anémie, Carence en fer, Pré-dialyse.",West African journal of medicine,2024,Edeki I R; Unuigbe E I; Okaka E I,"Humans; Male; Female; Adult; Middle Aged; Aged; Iron; Cross-Sectional Studies; Dialysis; Ferritins; Renal Insufficiency, Chronic; Anemia; C-Reactive Protein; Iron Deficiencies; Folic Acid; Vitamin B 12",,38412204,https://pubmed.ncbi.nlm.nih.gov/38412204/
